intaglio_depth,security_thread_visible,watermark_clarity,color_shift_ink,microprint_score,uv_fluorescence,serial_number_font,denomination,label
0.127107,0.169221,0.087096,0.025532,0.080632,0.83967,0.016112,10,0
0.087947,0.300904,0.2046,0.039655,0.10527,0.673022,0.01317,50,0
0.174443,0.158245,0.262364,0.092777,0.121148,0.780829,0.024972,50,0
0.136073,0.135542,0.17231,0.071404,0.15872,0.841799,0.045342,500,0
0.142853,0.157047,0.102688,0.097361,0.141051,0.783141,0.023992,200,0
0.109734,0.064862,0.027121,0.034493,0.031752,0.878526,0.011849,10,0
0.108501,0.085963,0.033638,0.026645,0.036421,0.887454,0.003427,20,0
0.134094,0.161647,0.115824,0.005736,0.108393,0.803834,0.010949,20,0
0.169342,0.152631,0.144236,0.038858,0.083782,0.792433,0.023991,10,0
0.160189,0.209664,0.129252,0.150243,0.275814,0.774176,0.057121,10,0
0.122434,0.166433,0.202537,0.047628,0.105379,0.78999,0.026168,500,0
0.260631,0.090225,0.263624,0.013506,0.065988,0.702752,0.015553,2000,0
0.173221,0.172081,0.1864,0.134689,0.253283,0.818921,0.057748,50,1
0.122206,0.110404,0.016164,0.01588,0.080847,0.889576,0.012355,200,0
0.043646,0.042753,0.0384,0.007656,0.011001,0.920073,0.00298,500,1
0.18308,0.196018,0.227433,0.065829,0.115235,0.740781,0.019071,500,1
0.104437,0.16861,0.204212,0.030768,0.119664,0.763941,0.020705,20,0
0.103488,0.082728,0.16152,0.005576,0.0215,0.863246,0.015114,10,0
0.180431,0.209697,0.16822,0.007086,0.065688,0.832203,0.006559,20,0
0.111588,0.111297,0.146938,0.092333,0.113407,0.866617,0.051206,20,1
0.081356,0.113685,0.099226,0.045446,0.04868,0.900646,0.016,10,1
0.131429,0.179384,0.32328,0.139559,0.269942,0.734091,0.069683,50,1
0.191567,0.212341,0.172317,0.00749,0.030433,0.790937,0.007479,20,0
0.105601,0.15262,0.066082,0.016662,0.056641,0.857687,0.004947,100,0
0.218235,0.112293,0.015055,0.019719,0.084669,0.833784,0.014776,10,0
0.12747,0.155991,0.015757,0.0128,0.10802,0.88287,0.03393,50,0
0.126165,0.124589,0.081195,0.011611,0.051487,0.841986,0.01603,10,0
0.093611,0.118142,0.019214,0.01015,0.092977,0.891904,0.028643,200,0
0.11527,0.114239,0.269641,0.001771,0.066954,0.727456,0.013809,10,1
0.160032,0.166722,0.189208,0.010584,0.089619,0.829777,0.021478,50,0
0.131414,0.18294,0.316,0.078718,0.168286,0.726857,0.029395,10,1
0.094646,0.18044,0.107413,0.012193,0.024659,0.834959,0.007776,100,0
0.104263,0.106871,0.102252,0.01535,0.123545,0.874767,0.023957,50,0
0.089769,0.126451,0.082832,0.01454,0.02003,0.871153,0.015692,50,1
0.165698,0.151832,0.110141,0.065013,0.09516,0.861462,0.038979,50,1
0.131622,0.167229,0.133668,0.003387,0.104645,0.849367,0.036014,500,0
0.171773,0.124216,0.099305,0.044287,0.106467,0.828356,0.028166,20,0
0.132699,0.040568,0.017656,0.087508,0.093729,0.853661,0.009044,100,0
0.119449,0.128552,0.096236,0.02108,0.051615,0.888505,0.030575,2000,0
0.160283,0.125495,0.301738,0.099712,0.122021,0.783233,0.051581,200,1
0.15106,0.216637,0.129347,0.044823,0.132803,0.812967,0.019508,50,0
0.200606,0.241908,0.183034,0.02101,0.106384,0.76887,0.036432,200,0
0.086876,0.1982,0.263847,0.060868,0.083142,0.752287,0.026953,500,1
0.123953,0.131188,0.160513,0.031462,0.062432,0.853847,0.017027,500,0
0.110843,0.100511,0.082933,0.006687,0.077456,0.869839,0.023045,20,0
0.11325,0.104517,0.128713,0.097954,0.116355,0.878566,0.051251,500,1
0.167975,0.190731,0.16997,0.01118,0.084303,0.812518,0.013991,500,0
0.144925,0.158002,0.140531,0.079105,0.184093,0.834872,0.04132,20,0
0.173169,0.123551,0.166819,0.025607,0.089039,0.850939,0.034813,50,0
0.110816,0.152202,0.142051,0.043852,0.107277,0.815883,0.029693,50,0
0.139329,0.143303,0.096794,0.030667,0.103661,0.85433,0.037476,50,0
0.129275,0.174504,0.130936,0.054624,0.122561,0.809476,0.040373,100,0
0.213101,0.131991,0.304581,0.045187,0.035339,0.747316,0.021507,500,0
0.14502,0.097901,0.141368,0.025824,0.00948,0.851124,0.008489,50,0
0.097153,0.082887,0.106631,0.012573,0.045571,0.880409,0.019461,10,0
0.132456,0.092726,0.110268,0.032102,0.125897,0.878244,0.0189,200,0
0.127326,0.244736,0.183666,0.029389,0.113041,0.76341,0.020256,20,0
0.117818,0.232769,0.192573,0.031337,0.12512,0.767124,0.023106,20,0
0.108459,0.107543,0.061899,0.046527,0.135781,0.896121,0.036949,500,0
0.138493,0.160871,0.234528,0.017357,0.107172,0.752546,0.017568,10,1
0.123329,0.200628,0.134052,0.033125,0.147083,0.688601,0.019277,500,1
0.118294,0.153907,0.247009,0.012765,0.053852,0.809148,0.009024,500,1
0.141982,0.141968,0.188407,0.138719,0.304072,0.788404,0.075048,20,1
0.293839,0.298055,0.126306,0.013086,0.070169,0.673917,0.017974,2000,0
0.120638,0.091918,0.0429,0.014966,0.013259,0.90314,0.004108,2000,0
0.099445,0.151744,0.186083,0.056109,0.138974,0.778088,0.014615,100,0
0.169231,0.178363,0.042523,0.027805,0.083385,0.757456,0.021342,500,1
0.110179,0.120259,0.106987,0.073447,0.111232,0.869772,0.048402,10,1
0.092916,0.212448,0.203568,0.083244,0.117061,0.773898,0.020361,100,0
